City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
victoria,-4.6167,55.45,78.8,89.0,75,6.91,SC,1613183245.0
provideniya,64.3833,-173.3,-0.18,90.0,100,29.48,RU,1613183247.0
bredasdorp,-34.5322,20.0403,69.8,83.0,0,4.61,ZA,1613183251.0
grindavik,63.8424,-22.4338,41.0,75.0,75,41.43,IS,1613183150.0
colares,38.7992,-9.4469,52.0,93.0,0,3.44,PT,1613183255.0
alice springs,-23.7,133.8833,68.0,94.0,90,10.36,AU,1613183257.0
poum,-20.2333,164.0167,80.55,72.0,0,9.08,NC,1613183259.0
kapaa,22.0752,-159.319,77.0,57.0,1,8.05,US,1613183143.0
northam,-31.6667,116.6667,87.01,26.0,7,9.22,AU,1613183263.0
hermanus,-34.4187,19.2345,71.01,81.0,0,3.0,ZA,1613183031.0
ranfurly,-45.1333,170.1,72.0,52.0,15,3.85,NZ,1613183267.0
mehamn,71.0357,27.8492,16.05,95.0,53,6.76,NO,1613183269.0
san cristobal,-0.9045,-89.6174,78.1,85.0,78,9.51,EC,1613183271.0
saint george,32.3817,-64.6781,70.0,94.0,90,13.8,BM,1613183274.0
mar del plata,-38.0023,-57.5575,69.01,100.0,90,13.8,AR,1613183047.0
mariana,-20.3778,-43.4161,67.82,91.0,100,1.74,BR,1613183278.0
luderitz,-26.6481,15.1594,63.0,87.0,26,6.98,NA,1613183280.0
paita,-5.0892,-81.1144,75.6,79.0,84,14.45,PE,1613183282.0
tasiilaq,65.6145,-37.6368,32.0,69.0,90,39.12,GL,1613183284.0
dikson,73.5069,80.5464,-26.0,87.0,98,11.14,RU,1613183026.0
touros,-5.1989,-35.4608,78.8,83.0,40,4.61,BR,1613183288.0
hami,42.8,93.45,34.59,76.0,0,2.42,CN,1613183290.0
sakakah,29.9697,40.2064,53.6,62.0,0,3.44,SA,1613183292.0
hovd,48.0056,91.6419,5.61,91.0,0,2.1,MN,1613183206.0
paamiut,61.994,-49.6678,24.96,91.0,100,18.81,GL,1613183297.0
hammerfest,70.6634,23.6821,26.6,68.0,75,12.66,NO,1613183299.0
arraial do cabo,-22.9661,-42.0278,76.28,89.0,100,16.37,BR,1613183153.0
puerto ayora,-0.7393,-90.3518,75.99,95.0,89,1.99,EC,1613183142.0
norman wells,65.282,-126.8329,-11.2,77.0,20,3.44,CA,1613183305.0
yumen,40.2833,97.2,37.78,65.0,55,16.51,CN,1613183307.0
alofi,-19.0595,-169.9187,84.2,74.0,88,10.36,NU,1613183309.0
okmulgee,35.6234,-95.9605,17.96,86.0,58,15.86,US,1613183311.0
saskylakh,71.9167,114.0833,-28.59,82.0,74,1.99,RU,1613183138.0
bengkulu,-3.8004,102.2655,83.95,67.0,56,2.19,ID,1613183040.0
strezhevoy,60.7333,77.5889,-18.4,76.0,0,4.47,RU,1613183320.0
souillac,-20.5167,57.5167,78.8,78.0,40,11.5,MU,1613183140.0
hobart,-42.8794,147.3294,66.2,55.0,40,13.8,AU,1613183136.0
pisco,-13.7,-76.2167,71.6,78.0,0,14.97,PE,1613183059.0
concordia,-31.393,-58.0209,68.0,97.0,4,4.0,AR,1613183328.0
chapais,49.7834,-74.8492,-4.0,77.0,90,6.91,CA,1613183330.0
mirnyy,62.5353,113.9611,-21.03,86.0,62,6.33,RU,1613183332.0
busselton,-33.65,115.3333,75.0,58.0,0,1.99,AU,1613183142.0
torbay,47.6666,-52.7314,30.99,86.0,90,29.93,CA,1613183336.0
kaeo,-35.1,173.7833,75.0,61.0,0,5.99,NZ,1613183339.0
albany,-35.0169,117.8917,69.8,64.0,40,3.44,AU,1613183341.0
esperance,-33.8667,121.9,73.4,46.0,0,5.75,AU,1613183141.0
beringovskiy,63.05,179.3167,-11.58,88.0,100,28.03,RU,1613183102.0
dwarka,22.2394,68.9678,68.54,72.0,0,8.23,IN,1613183065.0
berlevag,70.8578,29.0864,16.75,93.0,45,10.36,NO,1613183349.0
tandil,-37.3217,-59.1332,69.01,91.0,83,3.0,AR,1613183351.0
nanortalik,60.1432,-45.2371,36.23,77.0,100,10.98,GL,1613183353.0
la asuncion,11.0333,-63.8628,75.67,87.0,0,15.21,VE,1613183355.0
sitka,57.0531,-135.33,37.4,30.0,20,9.22,US,1613183361.0
saldanha,-33.0117,17.9442,62.6,88.0,0,3.44,ZA,1613183364.0
west wendover,40.7391,-114.0733,46.4,46.0,20,8.05,US,1613183366.0
anadyr,64.75,177.4833,-14.01,70.0,40,20.13,RU,1613183368.0
ulcinj,41.9294,19.2244,44.6,30.0,75,19.57,ME,1613183370.0
carnarvon,-24.8667,113.6333,86.0,79.0,90,11.5,AU,1613183372.0
broome,-17.9667,122.2333,87.8,62.0,40,10.36,AU,1613183374.0
tigil,57.8,158.6667,-0.62,83.0,0,5.26,RU,1613183376.0
roma,-26.5833,148.7833,82.02,49.0,85,12.95,AU,1613183378.0
punta arenas,-53.15,-70.9167,55.4,54.0,90,10.36,CL,1613183380.0
kununurra,-15.7667,128.7333,93.2,55.0,40,9.22,AU,1613183383.0
casas grandes,30.3667,-107.95,57.99,24.0,54,8.01,MX,1613183385.0
namibe,-15.1961,12.1522,72.79,76.0,22,1.16,AO,1613183387.0
belaya glina,46.07,40.86,28.0,91.0,49,19.48,RU,1613183389.0
westport,53.8,-9.5167,37.0,93.0,100,15.99,IE,1613183391.0
lompoc,34.6391,-120.4579,53.6,82.0,1,16.11,US,1613183393.0
tommot,58.9564,126.2925,-8.59,86.0,100,8.95,RU,1613183395.0
narsaq,60.9167,-46.05,44.6,29.0,90,36.82,GL,1613183397.0
lavrentiya,65.5833,-171.0,-5.64,90.0,100,18.16,RU,1613183399.0
daru,-9.0763,143.2092,83.98,78.0,61,4.99,PG,1613183402.0
miraflores,1.3367,-71.9511,75.02,76.0,18,1.59,CO,1613183404.0
tokyo,35.6895,139.6917,55.0,54.0,40,3.44,JP,1613183180.0
cherskiy,68.75,161.3,-20.13,82.0,0,0.89,RU,1613183145.0
georgetown,-7.9333,-14.4167,77.18,79.0,100,12.62,SH,1613183415.0
vila velha,-20.3297,-40.2925,77.0,88.0,20,5.75,BR,1613183417.0
zambezi,-13.5432,23.1047,64.56,93.0,100,3.78,ZM,1613183419.0
baykit,61.67,96.37,-18.18,83.0,98,1.41,RU,1613183421.0
severobaykalsk,55.65,109.3167,-7.19,78.0,27,1.97,RU,1613183423.0
longyearbyen,78.2186,15.6401,12.2,73.0,75,19.57,SJ,1613183300.0
hithadhoo,-0.6,73.0833,82.4,73.0,98,11.99,MV,1613183428.0
verkhoyansk,67.5447,133.385,-9.94,86.0,0,1.3,RU,1613183430.0
teeli,51.0333,90.2333,-8.32,85.0,0,0.18,RU,1613183432.0
nemuro,43.3236,145.575,32.0,69.0,0,9.22,JP,1613183434.0
san jose,16.9833,-89.9,72.68,86.0,9,1.88,GT,1613183436.0
tuktoyaktuk,69.4541,-133.0374,-7.6,77.0,75,4.61,CA,1613183438.0
avarua,-21.2078,-159.775,86.0,62.0,75,5.75,CK,1613183441.0
sawakin,19.1059,37.3321,75.18,80.0,12,3.29,SD,1613183168.0
laramie,41.3114,-105.5911,3.2,78.0,90,6.91,US,1613183445.0
olafsvik,64.8945,-23.7142,39.63,73.0,100,23.96,IS,1613183447.0
aksu,41.1231,80.2644,36.72,70.0,52,1.12,CN,1613183449.0
hasaki,35.7333,140.8333,59.0,54.0,20,2.3,JP,1613183451.0
dukat,62.55,155.55,-9.98,86.0,1,4.47,RU,1613183455.0
pevek,69.7008,170.3133,-18.54,89.0,100,7.18,RU,1613183458.0
chokurdakh,70.6333,147.9167,-21.17,72.0,0,3.8,RU,1613183460.0
mukhen,48.1,136.1,28.53,95.0,98,8.57,RU,1613183464.0
kutum,14.2,24.6667,59.47,34.0,44,10.54,SD,1613183466.0
lorengau,-2.0226,147.2712,83.73,76.0,98,7.47,PG,1613183468.0
mayo,63.5927,-135.8998,-11.2,84.0,1,3.44,CA,1613183471.0
kodiak,57.79,-152.4072,35.6,75.0,90,14.97,US,1613183473.0
muncar,-8.4333,114.3333,84.65,69.0,1,5.66,ID,1613183475.0
gunjur,13.2019,-16.7339,71.6,49.0,0,5.75,GM,1613183477.0
luganville,-15.5333,167.1667,84.94,65.0,42,10.78,VU,1613183479.0
san juan bautista,-14.0108,-75.7358,71.6,78.0,0,14.97,PE,1613183481.0
georgiyevka,43.0369,74.7114,32.0,100.0,90,4.47,KZ,1613183483.0
hofn,64.2539,-15.2082,40.46,74.0,100,20.31,IS,1613183485.0
ilulissat,69.2167,-51.1,8.6,78.0,75,6.06,GL,1613183488.0
san jeronimo,29.3707,-110.79,63.0,48.0,0,4.0,MX,1613183490.0
baruun-urt,46.6806,113.2792,-1.52,82.0,67,1.54,MN,1613183494.0
new norfolk,-42.7826,147.0587,68.0,43.0,95,5.01,AU,1613183496.0
acapulco,16.8634,-99.8901,77.0,78.0,1,6.91,MX,1613183498.0
verkhnyaya inta,65.9811,60.3094,-20.04,87.0,100,2.42,RU,1613183500.0
qaanaaq,77.484,-69.3632,-2.2,70.0,0,4.97,GL,1613183502.0
nikolskoye,59.7035,30.7861,1.99,84.0,75,4.47,RU,1613183504.0
tecoanapa,16.5167,-98.75,75.34,83.0,0,6.96,MX,1613183507.0
rio gallegos,-51.6226,-69.2181,55.4,44.0,0,6.91,AR,1613183488.0
mariinsk,56.2139,87.7472,-16.96,86.0,100,4.61,RU,1613183511.0
kharakvasla,18.4333,73.7667,67.71,35.0,33,1.79,IN,1613183355.0
nabire,-3.3667,135.4833,89.56,58.0,55,4.76,ID,1613183519.0
liwale,-9.7667,37.9333,71.46,96.0,100,5.93,TZ,1613183521.0
hambantota,6.1241,81.1185,75.2,100.0,18,1.14,LK,1613183523.0
yarmouth,43.8335,-66.1156,28.0,100.0,90,3.44,CA,1613183526.0
raudeberg,61.9875,5.1352,28.99,38.0,0,12.37,NO,1613183528.0
mount pleasant,32.7941,-79.8626,45.0,100.0,90,4.61,US,1613183257.0
trincomalee,8.5711,81.2335,78.62,82.0,68,10.92,LK,1613183515.0
wanning,18.8003,110.3967,69.89,62.0,23,5.73,CN,1613183536.0
upernavik,72.7868,-56.1549,-2.79,81.0,0,8.32,GL,1613183538.0
bethel,41.3712,-73.414,28.4,30.0,90,3.44,US,1613183540.0
mujiayingzi,42.1167,118.7833,38.21,68.0,88,2.26,CN,1613183542.0
barra patuca,15.8,-84.2833,76.44,78.0,0,12.33,HN,1613183544.0
jalingo,8.8833,11.3667,71.73,20.0,52,3.02,NG,1613183546.0
finote selam,10.7,37.2667,58.77,34.0,59,3.6,ET,1613183549.0
broken hill,-31.95,141.4333,71.6,37.0,0,16.11,AU,1613183553.0
caravelas,-17.7125,-39.2481,75.13,86.0,93,4.68,BR,1613183555.0
ribeira grande,38.5167,-28.7,60.82,78.0,100,30.82,PT,1613183557.0
haines junction,60.7522,-137.5108,-14.8,76.0,0,1.14,CA,1613183559.0
romanovo,52.6182,81.2271,-17.86,84.0,1,5.41,RU,1613183561.0
tuatapere,-46.1333,167.6833,71.01,61.0,73,7.0,NZ,1613183563.0
cabo san lucas,22.8909,-109.9124,64.4,77.0,1,14.97,MX,1613183443.0
laguna,-28.4825,-48.7808,73.58,85.0,65,6.29,BR,1613183567.0
severo-kurilsk,50.6789,156.125,28.9,95.0,100,8.12,RU,1613183530.0
vilyuysk,63.7553,121.6247,-13.79,89.0,100,6.42,RU,1613183572.0
iqaluit,63.7506,-68.5145,-11.2,77.0,20,6.91,CA,1613183574.0
khakhea,-24.6895,23.494,72.28,61.0,99,1.34,BW,1613183576.0
khandbari,27.3747,87.2039,64.04,44.0,13,1.12,NP,1613183578.0
arroyo,41.3909,-78.8803,21.2,63.0,90,4.61,US,1613183580.0
sarkand,45.41,79.9186,27.23,86.0,100,1.77,KZ,1613183582.0
margate,-30.8636,30.3705,75.0,82.0,0,12.06,ZA,1613183584.0
flin flon,54.7682,-101.865,-27.49,83.0,14,0.76,CA,1613183586.0
banepa,27.6298,85.5214,50.0,93.0,40,2.3,NP,1613183349.0
thompson,55.7435,-97.8558,-31.0,68.0,1,1.5,CA,1613183591.0
kuah,6.3265,99.8432,86.0,66.0,20,4.61,MY,1613183593.0
port elizabeth,-33.918,25.5701,75.2,94.0,90,12.66,ZA,1613183595.0
sinfra,6.6167,-5.9167,78.8,83.0,10,6.91,CI,1613183597.0
hudson bay,52.85,-102.3842,-27.44,84.0,59,1.36,CA,1613183599.0
sioux lookout,50.1001,-91.917,-23.8,76.0,75,2.3,CA,1613183603.0
khatanga,71.9667,102.5,-26.54,86.0,100,8.28,RU,1613183605.0
kachiry,53.0675,76.1036,-11.6,89.0,0,8.48,KZ,1613183607.0
katsuura,35.1333,140.3,55.99,62.0,40,5.75,JP,1613183609.0
selenduma,50.9131,106.2406,-5.03,80.0,3,2.98,RU,1613183612.0
camocim,-2.9022,-40.8411,77.54,88.0,70,9.04,BR,1613183614.0
mantua,22.2889,-84.2844,75.09,83.0,51,10.4,CU,1613183616.0
richards bay,-28.783,32.0377,73.81,93.0,81,4.14,ZA,1613183618.0
tadine,-21.55,167.8833,82.11,69.0,61,4.27,NC,1613183620.0
polovinnoye,54.7914,65.9864,2.93,94.0,88,4.92,RU,1613183622.0
sao filipe,14.8961,-24.4956,72.39,64.0,0,13.18,CV,1613183624.0
saint-augustin,51.226,-58.6502,11.8,92.0,2,12.35,CA,1613183626.0
fortuna,40.5982,-124.1573,51.01,100.0,90,4.05,US,1613183628.0
maceio,-9.6658,-35.7353,75.2,94.0,75,2.3,BR,1613183630.0
ponta do sol,17.1994,-25.0919,69.8,73.0,75,20.71,CV,1613183635.0
san patricio,19.2167,-104.7,77.0,44.0,40,4.12,MX,1613183637.0
coihaique,-45.5752,-72.0662,57.2,58.0,0,4.88,CL,1613183639.0
ushtobe,45.2514,77.9838,26.44,98.0,100,11.81,KZ,1613183641.0
tual,-5.6667,132.75,84.07,75.0,98,10.09,ID,1613183643.0
guarapari,-20.6667,-40.4975,77.0,88.0,20,5.75,BR,1613183590.0
tuburan,6.6439,122.2736,86.0,74.0,75,5.75,PH,1613183647.0
swellendam,-34.0226,20.4417,69.8,83.0,98,4.61,ZA,1613183649.0
ancud,-41.8697,-73.8203,55.99,76.0,0,9.22,CL,1613183651.0
nelson bay,-32.7167,152.15,73.99,100.0,90,17.27,AU,1613183653.0
shache,38.4167,77.2406,39.69,65.0,46,3.51,CN,1613183656.0
petropavlovsk-kamchatskiy,53.0452,158.6483,23.0,50.0,40,1.57,RU,1613183658.0
ferry pass,30.5102,-87.2125,54.0,94.0,90,11.5,US,1613183660.0
sorong,-0.8833,131.25,85.53,65.0,99,4.21,ID,1613183644.0
jumla,29.2747,82.1838,50.54,34.0,0,1.59,NP,1613183664.0
verkhnevilyuysk,63.4453,120.3167,-12.77,88.0,100,6.73,RU,1613183668.0
alta gracia,-31.6529,-64.4283,68.0,88.0,0,3.44,AR,1613183670.0
karaman,37.0833,33.25,34.32,87.0,42,4.97,TR,1613183674.0
sungairaya,0.7,108.9,84.31,69.0,67,10.36,ID,1613183677.0
santander,43.4647,-3.8044,48.99,93.0,0,1.14,ES,1613183499.0
zhuanghe,39.7008,122.9911,45.0,84.0,97,7.78,CN,1613183681.0
kavieng,-2.5744,150.7967,84.76,72.0,33,9.57,PG,1613183683.0
isangel,-19.55,169.2667,82.4,83.0,90,4.85,VU,1613183685.0
antofagasta,-23.65,-70.4,66.2,77.0,0,5.75,CL,1613183389.0
poronaysk,49.2167,143.1167,22.98,97.0,77,1.21,RU,1613183689.0
kem,64.9555,34.5793,5.52,95.0,99,5.77,RU,1613183691.0
bambous virieux,-20.3428,57.7575,78.8,78.0,40,11.5,MU,1613183695.0
carutapera,-1.195,-46.02,79.23,85.0,100,8.79,BR,1613183697.0
samarai,-10.6167,150.6667,84.16,66.0,20,9.28,PG,1613183700.0
mount gambier,-37.8333,140.7667,66.2,55.0,90,10.36,AU,1613183489.0
bethanien,-26.502,17.1583,71.51,59.0,58,6.2,NA,1613183705.0
balsas,-7.5325,-46.0356,74.57,92.0,91,2.53,BR,1613183707.0
santa ines,-3.6667,-45.38,74.84,97.0,100,2.51,BR,1613183709.0
badin,24.656,68.8384,67.24,22.0,0,5.55,PK,1613183711.0
joshimath,30.5667,79.5667,53.04,30.0,93,4.32,IN,1613183715.0
shelburne,44.0787,-80.2041,8.6,85.0,90,3.09,CA,1613183717.0
onega,63.9061,38.1404,-4.54,91.0,100,7.76,RU,1613183719.0
dicabisagan,17.0818,122.4157,78.89,69.0,56,6.96,PH,1613183721.0
kahului,20.8947,-156.47,82.4,51.0,40,18.41,US,1613183497.0
contai,21.7786,87.7536,74.98,55.0,4,7.52,IN,1613183443.0
celestun,20.8667,-90.4,74.8,86.0,2,3.58,MX,1613183728.0
praia da vitoria,38.7333,-27.0667,60.8,72.0,40,29.71,PT,1613183730.0
batie,9.8833,-2.9167,74.73,19.0,0,3.91,BF,1613183732.0
kaitangata,-46.2817,169.8464,64.99,72.0,70,7.0,NZ,1613183734.0
pangnirtung,66.1451,-65.7125,-17.84,82.0,100,0.38,CA,1613183736.0
bitung,1.4451,125.1824,82.4,83.0,40,5.75,ID,1613183738.0
spas-demensk,54.4122,34.0226,6.08,94.0,100,15.48,RU,1613183740.0
chara,56.9064,118.2631,-7.62,80.0,100,5.46,RU,1613183742.0
port hardy,50.6996,-127.4199,35.6,51.0,90,29.93,CA,1613183744.0
channel-port aux basques,47.5702,-59.1367,27.86,94.0,73,15.73,CA,1613183747.0
constitucion,23.9912,-104.6749,53.6,8.0,1,15.35,MX,1613183749.0
atar,20.5169,-13.0499,62.74,24.0,0,9.37,MR,1613183751.0
killybegs,54.6333,-8.45,30.99,95.0,100,21.0,IE,1613183753.0
mahibadhoo,3.7833,72.9667,80.49,77.0,44,11.05,MV,1613183755.0
aboso,5.3617,-1.9473,75.51,97.0,31,3.33,GH,1613183757.0
naryan-mar,67.6713,53.087,-16.33,87.0,83,1.23,RU,1613183759.0
lethem,3.3803,-59.7968,78.75,71.0,86,13.98,GY,1613183761.0
leningradskiy,69.3833,178.4167,-18.15,85.0,100,7.58,RU,1613183763.0
aurora,13.3481,122.5206,82.96,72.0,1,9.28,PH,1613183765.0
udomlya,57.8794,34.9925,1.67,89.0,100,13.82,RU,1613183768.0
nalut,30.3333,10.85,53.26,42.0,0,5.23,LY,1613183772.0
tanza,14.6753,120.9389,78.01,94.0,90,6.91,PH,1613183774.0
tiksi,71.6872,128.8694,-9.92,91.0,58,4.32,RU,1613183776.0
pacific grove,36.6177,-121.9166,53.6,82.0,90,4.61,US,1613183781.0
okhotsk,59.3833,143.3,16.38,92.0,100,4.23,RU,1613183529.0
biak,-0.9131,122.8766,77.14,86.0,100,7.49,ID,1613183787.0
belmonte,-15.8631,-38.8828,78.8,73.0,20,9.22,BR,1613183789.0
nuevitas,21.5453,-77.2644,73.4,88.0,20,6.91,CU,1613183791.0
saint-philippe,-21.3585,55.7679,78.8,65.0,0,12.66,RE,1613183793.0
aljezur,37.3191,-8.8033,50.83,72.0,94,4.5,PT,1613183796.0
eyemouth,55.8713,-2.0901,27.0,92.0,96,7.0,GB,1613183798.0
pandan,14.0453,124.1694,79.38,82.0,72,12.82,PH,1613183800.0
arroio grande,-32.2375,-53.0869,63.0,93.0,100,18.01,BR,1613183802.0
kavaratti,10.5669,72.642,80.55,62.0,36,4.83,IN,1613183800.0
antalaha,-14.9003,50.2788,74.79,87.0,100,4.88,MG,1613183806.0
quatre cocos,-20.2078,57.7625,78.8,78.0,40,11.5,MU,1613183812.0
coro,11.4045,-69.6734,75.7,81.0,17,16.33,VE,1613183814.0
ous,60.9058,61.5186,-6.66,92.0,100,3.04,RU,1613183816.0
nouadhibou,20.931,-17.0347,62.6,82.0,0,23.02,MR,1613183819.0
along,28.1667,94.7667,67.41,40.0,21,0.43,IN,1613183821.0
ambon,-3.6954,128.1814,84.2,79.0,40,3.44,ID,1613183823.0
omsukchan,62.5333,155.8,-11.0,86.0,19,5.12,RU,1613183589.0
saint-pierre,46.7654,-56.1695,31.12,91.0,0,25.7,PM,1613183827.0
elko,41.0002,-115.5012,42.8,61.0,90,9.22,US,1613183831.0
jardim,-21.4803,-56.1381,69.71,92.0,0,2.33,BR,1613183833.0
peace river,56.2501,-117.286,-14.8,70.0,1,9.22,CA,1613183835.0
salalah,17.0151,54.0924,66.2,45.0,0,2.3,OM,1613183837.0
taksimo,56.3444,114.8794,-3.96,80.0,100,4.9,RU,1613183840.0
casino,-28.8667,153.05,89.6,51.0,64,9.22,AU,1613183842.0
beloha,-25.1667,45.05,75.4,74.0,97,11.7,MG,1613183844.0
salamiyah,35.0113,37.0532,46.44,88.0,0,4.29,SY,1613183846.0
karratha,-20.7377,116.8463,84.96,57.0,38,12.5,AU,1613183850.0
olinda,-8.0089,-34.8553,78.8,73.0,40,9.22,BR,1613183700.0
oranjemund,-28.55,16.4333,63.79,91.0,85,10.04,NA,1613183856.0
nea alikarnassos,35.3333,25.1667,50.0,76.0,20,10.36,GR,1613183858.0
lyngseidet,69.5763,20.2189,26.6,93.0,75,18.41,NO,1613183860.0
bintulu,3.1667,113.0333,75.2,100.0,40,2.3,MY,1613183863.0
auki,-8.7676,160.7034,80.31,85.0,100,12.1,SB,1613183865.0
thinadhoo,0.5333,72.9333,82.62,67.0,100,9.84,MV,1613183867.0
gidole,5.65,37.3667,62.56,59.0,96,0.81,ET,1613183869.0
sorland,67.667,12.6934,33.89,89.0,100,13.33,NO,1613183871.0
waipawa,-41.4122,175.5153,73.4,49.0,24,14.97,NZ,1613183875.0
weligama,5.9667,80.4167,79.5,76.0,47,2.19,LK,1613183877.0
chhabra,24.6667,76.8333,66.33,33.0,0,8.41,IN,1613183880.0
ghanzi,-21.5667,21.7833,63.73,90.0,82,5.14,BW,1613183884.0
arlit,18.7369,7.3853,63.57,24.0,0,4.18,NE,1613183886.0
itaqui,-29.1253,-56.5531,69.87,77.0,0,6.29,BR,1613183890.0
ipira,-12.1583,-39.7372,71.31,86.0,0,10.13,BR,1613183892.0
aparecida do taboado,-20.0867,-51.0936,70.03,92.0,100,4.05,BR,1613183894.0
lokosovo,61.1333,74.8167,-17.37,87.0,100,3.96,RU,1613183896.0
praia,14.9215,-23.5087,69.8,73.0,0,21.85,CV,1613183690.0
coahuayana,18.7333,-103.6833,64.76,78.0,29,2.71,MX,1613183901.0
bondo,3.8146,23.6866,67.77,36.0,6,1.9,CD,1613183905.0
moerai,-22.4333,-151.3333,81.3,69.0,100,12.03,PF,1613183907.0
cortez,37.3489,-108.5859,37.4,70.0,20,4.74,US,1613183909.0
dunedin,-45.8742,170.5036,64.0,72.0,60,1.99,NZ,1613183911.0
deputatskiy,69.3,139.9,-16.46,90.0,100,2.86,RU,1613183913.0
guerrero negro,27.9769,-114.0611,59.52,80.0,29,15.79,MX,1613183915.0
puri,19.8,85.85,66.2,82.0,0,8.88,IN,1613183924.0
tamara,5.8297,-72.1633,68.11,69.0,75,3.98,CO,1613183926.0
bud,62.9088,6.9145,21.2,63.0,10,12.66,NO,1613183930.0
kungurtug,50.5994,97.5228,-7.73,79.0,19,0.74,RU,1613183932.0
bergerac,44.8333,0.5,36.0,93.0,90,2.3,FR,1613183934.0
coolum beach,-26.5333,153.1,86.0,70.0,85,7.0,AU,1613183936.0
xining,36.6167,101.7667,32.34,88.0,40,2.68,CN,1613183938.0
almaznyy,48.0448,40.045,19.4,79.0,75,22.37,RU,1613183940.0
banda aceh,5.5577,95.3222,84.7,66.0,28,6.64,ID,1613183942.0
belyy yar,53.6039,91.3903,-25.6,75.0,7,0.51,RU,1613183945.0
cabedelo,-6.9811,-34.8339,77.0,100.0,90,6.91,BR,1613183783.0
clyde river,70.4692,-68.5914,-2.2,92.0,100,27.63,CA,1613183864.0
lagoa,39.05,-27.9833,59.45,81.0,100,30.58,PT,1613183953.0
kruisfontein,-34.0033,24.7314,73.99,92.0,100,1.01,ZA,1613183860.0
puerto escondido,15.85,-97.0667,78.8,78.0,40,3.44,MX,1613183961.0
san carlos de bariloche,-41.1456,-71.3082,69.8,52.0,40,14.97,AR,1613183963.0
marataizes,-21.0433,-40.8244,75.25,83.0,100,11.81,BR,1613183965.0
florianopolis,-27.6146,-48.5012,73.4,94.0,75,4.61,BR,1613183968.0
odessa,31.8457,-102.3676,21.2,93.0,90,9.22,US,1613183970.0
shingu,33.7333,135.9833,60.8,63.0,40,10.36,JP,1613183714.0
rancho palos verdes,33.7445,-118.387,59.0,82.0,0,4.0,US,1613183974.0
kroya,-7.6331,109.2461,84.61,71.0,69,3.0,ID,1613183976.0
labuhan,-6.8844,112.2051,82.11,80.0,100,9.73,ID,1613183978.0
robertsport,6.7533,-11.3686,79.54,87.0,25,8.39,LR,1613183980.0
fairview,56.0668,-118.3861,-9.4,84.0,0,4.61,CA,1613183923.0
kawalu,-7.3817,108.2082,83.89,70.0,87,1.59,ID,1613183984.0
ahipara,-35.1667,173.1667,71.64,57.0,0,2.33,NZ,1613183986.0
boa vista,2.8197,-60.6733,80.6,69.0,40,10.36,BR,1613183988.0
nurota,40.5614,65.6886,42.8,75.0,6,4.61,UZ,1613183995.0
